Frame,CNT with Morphology
1,82944
2,82944
3,82944
4,82944
5,82944
6,82944
7,82944
8,82944
9,82944
10,82944
11,82944
12,82944
13,82944
14,82944
15,82944
16,11476
17,11835
18,12127
19,12165
20,12143
21,12219
22,12183
23,12493
24,12351
25,12339
26,12305
27,12288
28,12476
29,12159
30,12020
31,11881
32,11678
33,11741
34,11400
35,11332
36,11298
37,11207
38,11258
39,10997
40,10932
41,10901
42,10699
43,10732
44,10495
45,10416
46,10385
47,10328
48,10326
49,10221
50,10159
51,10209
52,10158
53,10228
54,10130
55,10050
56,10023
57,9990
58,10097
59,10067
60,10090
61,10063
62,10007
63,10037
64,9990
65,9965
66,9940
67,9845
68,9865
69,9798
70,9810
71,9839
72,9885
73,10097
74,10139
75,10195
76,10235
77,10211
78,10204
79,10124
80,10150
81,10168
82,10154
83,10279
84,10261
85,10243
86,10234
87,10179
88,10267
89,10261
90,10184
91,10097
92,10048
93,9979
94,9962
95,9936
96,9911
97,9964
98,10063
99,9991
100,10017
101,10052
102,10002
103,9932
104,9897
105,9832
106,9745
107,9703
108,9563
109,9593
110,9615
111,9589
112,9565
113,9440
114,9392
115,9323
116,9148
117,9000
118,8903
119,8821
120,8743
121,8700
122,8478
123,8402
124,8312
125,8266
126,8255
127,8215
128,8011
129,7935
130,7863
131,7826
132,7755
133,7742
134,7652
135,7588
136,7552
137,7524
138,7424
139,7374
140,7391
141,7388
142,7375
143,7312
144,7292
145,7288
146,7257
147,7285
148,7283
149,7242
150,7225
151,7231
152,7172
153,7225
154,7233
155,7260
156,7279
157,7348
158,7332
159,7348
160,7416
161,7392
162,7450
163,7541
164,7627
165,7647
166,7705
167,7760
168,7800
169,7841
170,7825
171,7858
172,7843
173,7837
174,7763
175,7760
176,7816
177,7782
178,7733
179,7721
180,7788
181,7833
182,7815
183,7901
184,7902
185,7926
186,7938
187,7956
188,8052
189,8031
190,7999
191,8022
192,8016
193,8034
194,8029
195,8016
196,8023
197,7996
198,7998
199,7968
200,7926
201,7999
202,7980
203,7936
204,7909
205,7876
206,7852
207,7891
208,7840
209,7905
210,7979
211,8043
212,8058
213,8006
214,7991
215,7967
216,7893
217,7821
218,7761
219,7723
220,7650
221,7661
222,7677
223,7654
224,7648
225,7592
226,7608
227,7536
228,7456
229,7448
230,7512
231,7556
232,7550
233,7443
234,7394
235,7361
236,7355
237,7346
238,7393
239,7338
240,7322
241,7304
242,7284
243,7335
244,7302
245,7287
246,7283
247,7252
248,7242
249,7341
250,7339
251,7463
252,7499
253,7491
254,7552
255,7656
256,7673
257,7680
258,7740
259,7603
260,7585
261,7541
262,7584
263,7577
264,7563
265,7568
266,7533
267,7519
268,7437
269,7425
270,7425
271,7442
272,7407
273,7391
274,7379
275,7329
276,7313
277,7253
278,7192
279,7194
280,7209
281,7183
282,7225
283,7220
284,7208
285,7190
286,7122
287,7139
288,7097
289,7090
290,7114
291,7138
292,7192
293,7212
294,7239
295,7293
296,7325
297,7342
298,7362
299,7211
300,7170
301,7284
302,7176
303,7174
304,7118
305,7139
306,7111
307,7038
308,7031
309,7030
310,7017
311,7044
312,7024
313,6967
314,6928
315,6927
316,6911
317,6943
318,6941
319,6926
320,6851
321,6863
322,6892
323,6925
324,7060
325,7055
326,7201
327,7208
328,7211
329,7258
330,7327
331,7341
332,7369
333,7385
334,7464
335,7483
336,7474
337,7520
338,7614
339,7557
340,7542
341,7500
